Company Name,Addresses
"Brightcove, Inc.","1 617 261 4830 faxTalk To UsNew York980 6th Avenue New York, NY 10018 | 1 617 500 4947 direct +1 617 261 4830 faxTalk To UsNew York980 6th Avenue New York, NY 10018 | 44 207 148 6450 telSeattle601 Union Street Suite 1601 Seattle, WA 98101 | 1 888 882 1880  | 1 617 500 4947  | 1 617 261 4830 faxTalk To UsNew York980 6 | 1 617 395 8352  | 44 207 148 6450 telSeattle601 U | 65 3163-5555  | 61 2 8310 4376 telSeoul17F, 83 U | 82 (0)2-6933-6747TokyoPMO T | 0014 Japan+81 3 6453 7730  | 81 3 6453 7731  | 91 22 66879308  | 44 207 148 6450 telSeattle601 Union Street Suite 1601 Seattle, WA 98101S"
"Ceros, Inc.",2019 Inc. 5000 L | 2018 Inc. 5000 L | 10 Best Workplaces 2016 | 25 Best Workplaces in NYC 
Clarabridge,"125 S Clark Street Chicago, IL 60603 | 600 California Street San Francisco, CA 94108 | 1400 Commerce Park Drive Suite 500 Reston, VA 20191 | 755 Baywood Drive 2nd Floor Petaluma, CA 94954 | 3 2020 N | 44 (0) 20 3142 8615  | 32 (0) 9 298 12 15 | 44 (0) 20 3142 8615"
"Cloudera, Inc.","5470 Great America Pkwy Santa Clara, CA 95054 | 0400 NE 4th St, Suite 07-109 Bellevue, WA 98004 | 33 Arch Street, 17th Floor Boston, MA 02110 | 314 Dean St, Brooklyn, NY 11217 | 1 Tara Blvd, Suite 200 Nashua, NH 03062 | 7700 Windrose Ave, Suite 03-200 Plano, TX 75024 | 8281 Greensboro Dr, Suite 450 Tysons, VA 22102 | 8115 Maple Lawn Blvd Fulton, MD 20759 | 108 and 03-110 Toronto, ON M5J 2P1 Canada | 3340 Peachtree Road, N.E. Suite 2330 | 515 Congress, Suite 1300 | 300 S. Wacker Dr, 17th Floor, Suite 1720 | 151 W 26th St, 10th Floor, Suite 1002 | 434 Fayetteville St, Suite 1610 | 36 1 701 1201 | 44 20 3826 1405 | 49 221 6507 8699 | 82 2 2008 4595 | 86 21 6236 9001  | 81 3 6228 7930 | 81 3 6228 7987 | 1 888 789 1488 | 1 650 362 0488 | 1 University Ave 04-123; 03-108 and 03-110 Toronto, ON M5J 2P1"
"Cloudwords, Inc.","201 California Street, Suite 1350San Francisco, CA 94111 | 201 California Street, Suite 1350San Francisco, CA 94111USA"
COGNITIVESCALE,"9500 Arboretum Blvd, L-1 AUSTIN, TX 78759"
Connotate,"1999 S. Bascom Avenue Campbell, CA 95008 | 44 1143 520318 | 1 (650) 935-4333  | 44 1143 520 318"
Crafter Software Corp.,"1800 Alexander Bell DriveSuite 400Reston, VA 20191 | 1800 Alexander Bell DriveSuite 400Reston, VA 20191USA"
DNN Corp.,"401 Congress Ave, Suite 2650  Austin, TX 78701 | 401 Congress Ave, Suite 2650 | 2020 by DNN C"
"EBSCO Industries, Inc.","10 Estes Street, Ipswich, MA 01938 | 2020 EBSCO I"
Ephox,"2100 Geng Road, Suite 220Palo Alto, CA 94303 | 1 888 797 8896A G | 2100 Geng Road, Suite 220Palo Alto, CA 94303United StatesBrisbane, Australia225 Montague Road, Level 4West End, QLD 4101AustraliaUme , SwedenRenmarkstorget 6 2TR903 26 UmeaSwedenTiny helps developers create great content creation applications. Sign up for our newsletter to stay in touch.SubscribeProducts TinyMCE Tiny Drive Plugins Case Studies Pricing Changelog Quick Start Guide Get TinyMCEDevelopers Documentation Integrations Labs Support Community Github Stack OverflowTiny About Us Blog The Team Careers ContactTiny on GithubTiny on StackOverflowTiny on TwitterTiny on LinkedIn  2020 T"
Episerver,"20 N. Upper Wacker Drive, Suite 530Chicago, IL 60606 | 1875 K Street NW, Suite 415Washington, DC 20006 | 460 Broome Street, 4th Floor, Suite 400New York, NY 10013 | 1 Fullerton Road #02-01 One Fullerton, Singapore 04921 | 1 603 594 0249Fax: +1 603 594 0258Contact local office Chicago Office 20 N. Upper Wacker Drive, Suite 530Chicago, IL 60606 | 1875 K Street NW, Suite 415Washington, DC 20006 USA New York Office 460 Broome Street, 4th Floor, Suite 400New York, NY 10013 | 1875 K Street NW, Suite 415Washington, DC 20006  | 1 603 594 0249Fax: +1 603 594 0258C | 20 N. Upper Wacker Drive, Suite 530Chicago, IL 60606 USA | 1875 K Street NW, Suite 415Washington, DC 20006 USA | 460 Broome Street, 4th Floor, Suite 400New York, NY 10013 USA | 46 8 55 58 27 00C | 2 HatfieldsLondon, SE1 9PGU | 44 (0)203 397 4940 | 31 (0)30 307 1327 | 49 30 76 80 78 0 | 45 3271 3629 | 358 40 710 8642 | 34 6398 73014 | 47 40 00 70 40 | 27 71 086 6355 | 1 Pacific Highway, North Sydney, NSW, 2060 | 61 2 9248 7222 | 1 Fullerton Road #02-01 One Fullerton, Singapore 049213 | 84 24 6293 3507 | 1 603 594 0249 | 46 8 55 58 27 00 | 1 603 594 0249Fax: +1 603 594 0258Contact local office Chicago Office 20 N. Upper Wacker Drive, Suite 530Chicago, IL 60606 U | 1875 K Street NW, Suite 415Washington, DC 20006 USA New York Office 460 Broome Street, 4th Floor, Suite 400New York, NY 10013 U"
"Evergage, Inc.","212 Elm Street, Suite 300 Somerville, MA 02144 | 1 (877) 476-0452  | 1 (888) 310-0589 "
Hippo B.V.,"82 Pioneer Way Mountain View, CA 94041"
"Hootsuite Media, Inc.","5 East 8th AvenueVancouver, BCV5T 1R6  | 111 East 5th AvenueVancouver, BCV5T 4L1  | 325 Front StreetToronto, ONM5V 2Y1  | 12 E 49th StNew YorkNY 10017  | 90 High HolbornHolbornLondon WC1V 6LJUK  | 33 Rue la Fayette75009 P | 29 H/IRoma, RM, Italy00185  | 24 Major Alexandru Campeanu St.Bucharest, Romania011237  | 175 Pitt St, 17th FloorSydney, NSW2000A | 5 East 8th AvenueVancouver, BCV5T 1R6 | 111 East 5th AvenueVancouver, BCV5T 4L1 | 325 Front StreetToronto, ONM5V 2Y1 | 5 East 8th AvenueVancouver, BCV5T 1R6                          Vancouver HQ2                     111 East 5th AvenueVancouver, BCV5T 4L1"
"Hortonworks, Inc.",1 888 789 1488 | 1 650 362 0488
Impelsys,"116 West 23rd Street, Suite 500, New York, NY 10011 | 1 212 239 4138, Fax: +1 917 591 9536 | 1 646 593 8618"
Influitive,137 Forest Avenue Palo Alto CA 94301
Kenshoo Ltd,"22 4th Street, 7th Floor  San Francisco, CA 94103 | 80 Pine Street, 27th Floor  New York, NY 10005 | 2537 - Bela Vista, S o Paulo - SP, 01311 | 111 W. Washington Street  Suite 1650  Chicago, IL 60602 | 1411 4th Ave   Office 08-126  Seattle, WA 98101 | 1 877 536 7462 | 1 877 536 7462 Ext 8146 | 1040 Miguel Hidalgo, CDMX | 52 (55) 8647 0455 // +52 (55) 8647 0456 | 55 (11) 5555 | 44 20 7079 2460 | 49 89 21547671 | 972 3 746 6500 | 972 73 2862450 | 852 37696 473 | 65 6956 9051 | 61 2 8316 8900"
Kentico Software,"15 Constitution Dr., Suite 2G Bedford, NH 03110"
"Krux Digital, Inc.","2020 Salesforce.com, inc. All rights reserved. Various trademarks held by their respective owners. Salesforce.com, inc. Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, CA 94105 | CALL US   1"
LinkedIn,"2002 and was officially launched on May 5, 2003.  Today, LinkedIn leads a diversified business with revenues from membership subscriptions, advertising sales and recruitment solutions under the leadership of Ryan Roslansky. In December 2016"
Lionbridge,"1050 Winter Street, Suite 2300 Waltham, MA 02451 | 423 N Ancestor Place #180 Boise, ID 83704 | 1917 McKinley Avenue Columbus, IN 47201 | 3535 Factoria Boulevard SE Suite 300 Bellevue, WA 98006 | 259 West 30th Street 11th Floor New York, NY 10001 | 3100 De La Cruz Blvd Suite 101 Santa Clara, CA 95054 | 220 Montgomery Street Suite 605 San Francisco, CA 94104 | 225 West Washington Street, Suite 2200 Chicago IL 60606 | 19 RESOURCES | 1050 Winter Street, Suite 2300 | 225 West Washington Street, Suite 2200 | 86 10 8518 6161 | 86 10 8518 8181 | 86 531 8317 6555 | 86 531 8317 6111 | 86 21 3425 9566 | 852 2117 1852 | 91 9243606211  | 91 80 28415566 | 91 44 6678 5000 | 91 44 6678 5499 | 91 22 6756 7000 | 91 22 6693 9488 | 81 45 640 4250 | 81 45 640 4206 | 65 6508 0616 | 65 6508 0617 | 82 2 787 9500 | 82 2 787 9600 | 886 2 2727 3288 | 886 2 2727 7072 | 662 632 1530 | 45 70 14 29 44 | 358 9 4270 5600 | 14 Rue Moreau, 75012 P | 33 142 96 54 30 | 45 All e des Ormes   BP 1200 | 33 492 952 001 | 33 492 389 314 | 49 30 219 160 501 | 49 30 219 160 502 | 49 202 43047800 | 49 202 47868361 | 353 96 73700 | 353 96 73701 | 353 1 202 1200 | 31 20 708 3915 | 31 20 408 0000 | 183 Jutrzenki St. 02-231 W | 48 22 865 99 00 | 95  opusza ska St. 02-457 W | 421 41 72 4 24 88 | 421 41 72 4 75 30 | 34 91 7913443 | 34 902 052883 | 46 31 303 26 50 | 46 31 12 11 40 | 41 58 900 70 20 | 41 58 900 70 40 | 41 58 900 70 00 | 44 117 3729 784 | 44 2476 826500 | 44 2476 632925 | 44 1332 442254 | 44 (0) 203 117 2800"
"MadCap Software, Inc.","9191 Towne Centre Dr #150                          San Diego, CA 92122 | 1401 Century Oaks Terrace, Suite 250 Austin, Texas 78758 | 9191 Towne Centre Drive, Suite 150 S | 1 888-MADCAP | 61 1800 344 118 | 32 800 54 446 | 33 800 91 43 66 | 49 800 0009714 | 44 800 086 8294 | 91 8009190741 | 353 1800 816 355 | 31 800 0229151 | 64 800 001 121 | 00 PM to 6:00 PM | 00 AM to 9:00 PM | 00 AM to 2:00 AM | 1 888-MADCAP1"
MarkLogic Corp.,"875 North Michigan Ave, 31st Floor  Chicago, IL 60611 | 1800 Tysons Blvd, Suite 400  McLean, VA 22102 | 1 650 655 2300  | 1 877 992 8885  | 1 312 366 3113  | 1 212 613 6600  | 1 703 854 8500  | 49 (0)800 - 64 63 77 223  | 44 (0)203 880 5400  | 49 (0)89 - 71 04 22 151  | 33 1 53 53 67 84  | 31 (0)30 799 65 50  | 63 (0)2 755 7647  | 65 6808 5888  | 61 2 8315 1550  | 81 (0)3 4540 0337 "
NewsCred,"2500 c/o NewsCred Lafayette, CO 80026 | 386 Park Ave S. 6th Floor New York, NY 10016 | 400 W South Boulder Rd Suite 2500 c/o NewsCred Lafayette, CO 80026 | 989 4100   | 44 (0) 203 744 3577  | 44 (0) 203 744 3577 | 1697 / +88029821698"
The Nielsen Co.,"6th Floor, Block C, Godrej IT Park,Pirojshanagar, L.B.S. Road, Vikhroli (W),Mumbai, India 400079 | 2nd & 3rd Floor, Sree RamaDeevena No.21, Ulsoor Road,Bangalore, India 560042 | 7th floor, 404-405, ILAB INFO TECHNOLOGY CENTER, Near Country Inns and Suites, Udyog Vihar Phase III, Gurgaon, India 560042 | 802, Merlin Acropolis, 1858/1,  Rajdanga Main Road, East Kolkata TownshipBeside GeetanjaliStadium, Kasba,Kolkata, India 700107 | 91 22 66632500 | 91 080 67143600 | 0042 Phone   +91 0124 6629600 | 91 033 66071400 | 91 22 66632500   Bangalore2nd & 3rd Floor, Sree RamaDeevena No.21, Ulsoor Road,Bangalore, India 560042Phone   +91 080 67143600   Gurgaon7th floor, 404-405, ILAB INFO"
OneSpot,"401 Congress Avenue, Suite 2650Austin, TX 78701 | 2020 ONESPOT. ALL RIGHTS RESERVED"
OpenText Corp.,6544 International: +800-4996-5440 Australia: +61 2 9026 3400 Brazil: +55 11 2536 0000 France: +33 1 47 96 55 41 Germany: +49 89 4629-0 Japan: +81 3 4560 7704 UK: +44 118 984 8080 | 44 118 984 8000
"Pandora Media, Inc.","70 million users each month with its proprietary Music Genome Project  and Podcast Genome Project  technology - whether at home or on the go - through its mobile app, the web, and integrations with more than 2,000 connected products. As the largest streaming music provider in the U.S., with an industry-leading digital audio advertising platform, Pandora connects listeners with the audio entertainment they love. Pandora is a subsidiary of Sirius XM Holdings Inc. (NASDAQ: SIRI"
"ProQuest, LLC","789 E. Eisenhower ParkwayAnn Arbor, MI, 48108 | 99 Canal Center Plaza Suite 200 Alexandria, VA 22314 | 7500 Old Georgetown Road Suite 1400 Bethesda, MD 20814 | 6413 Congress Avenue Suite 260 Boca Raton, FL 33487 | 3 Ingram Boulevard LaVergne,  TN 37086 | 620 S. Third Street Ste 500 Louisville,  KY 40202 | 630 Central Ave New Providence, NJ 07974 | 888 7th Avenue, 17th Floor New York, NY 10019 | 1501 1st Ave S, Suite 400 Seattle, WA 98134 | 584 Gangnam-daego, Gangnam-guSeoul, 06043 | 1 East Chang An Avenue,Dong Cheng District, Beijing, P. R. China 10073 | 1 703 212 8520 Bethesda, MD 7500 Old Georgetown Road Suite 1400 Bethesda, MD 20814 | 1 800 521 0600 Boca Raton, FL 6413 Congress Avenue Suite 260 Boca Raton, FL 33487 | 1 502 583 4111 New Providence, NJ 630 Central Ave New Providence, NJ 07974 | 1 908 795 3500 New York, NY 888 7th Avenue, 17th Floor New York, NY 10019 | 1 801 765 1737 Seattle, WA 1501 1st Ave S, Suite 400 Seattle, WA 98134 | 789 E. Eisenhower ParkwayAnn Arbor, MI, 48108Tel: +1 800 521 0600, +1 734 761 4700 | 1 703 212 8520 | 1 800 521 0600 | 1 615 793 | 1 502 583 4111 | 1 908 795 3500 | 1 212 331 7700  | 5252 North Edgewood Drive Ste 125 Provo UT 84604 | 1 801 765 1737 | 1 206 336 7510 | 699 James L. Hart Parkway Ypsilanti, MI    48197 | 1 734 879 5300 Fax: +1 734 879 5301 | 584 Gangnam-daego, Gangnam-guSeoul, 06043 K | 45 342 4780Fax: +81(0)45 342 4784 | 1 East Chang An Avenue,Dong Cheng District, Beijing, P. R. China 100738Tel: +86 10-5977 6010Fax: +86 10-8460 8669 | 9 Jalan 16/1146350 Petaling JayaSelangor D EM | 7954 2880Fax : +60-3-7958 3446 | 607 St Kilda RoadMelbourne, Australia 3004 | 61 3 8517 8333Fax: +61 3 8517 8399 | 91 124 4100615 | 852 2836 5636Fax: +852 2834 7133 | 44 (0) 1223 215 512Fax: +44 (0) 1223 215 513 | 49 40 89 809 0Fax: +49 40 89 809 250 | 3 Dorset RiseLondonEC4Y 8EN | 44 (0)207 832 1700Fax: +44 (0)207 832 1710 | 34 91 575 5597Fax: +34 91 575 5585 | 00 31 (0)206353190Fax: 00 31 (0)206337765 | 44 (0) 1425 471160 | 971 4 4331810Fax: +971 4 369 7646"
"Quark Software, Inc.","405 Lexington Ave, 9th Floor, Quark, New York, NY   10174 | 1600 East Beltline Ave. NESuite 210, Grand Rapids,MI 49525 | 33 Custom House Plaza, Harbour Master Place, I.F.S.C., Dublin 1, D01 VY76 | 353 1 859 7660"
Realview,"Level 35, Tower One, International Towers100 Barangaroo AvenueSydney, NSW 2000 Australia | 61 2 9299 1788F: +61 2 9299 0468 | 100 Barangaroo AvenueSydney, NSW 2000 A | 64 09 302 9100 M: +64 021 630 954 W: www.realviewdigital.co.nz,www.soarprint.co.nz100 New North Road Eden Terrace, Aucklandstuarts@soarprint.co.nz      Indonesia2 CreativesT:  +62 21-3155-971 W: http://2creativesmedia.comTasikmalaya 9, Menteng Jakartainfo@2creativesmedia.com       MalaysiaSerioustecW: http://www.serioustec.com/Lot A-G-16, Level G, SME T | 61 2 9299 1788"
"Reprints Desk, Inc.","6350 Ventura Blvd., Suite D#811, Encino, CA 91436 | 6350 Ventura Blvd., Suite D#811, Encino, CA 91316 | 6350 Ventura Blvd., Suite D #811, Encino, CA 91436 | 16350 Ventura Blvd., Suite D#811, Encino, CA 91436  | 16350 Ventura Blvd., Suite D#811, Encino, CA 91316  | 16350 Ventura Blvd., Suite D #811, Encino, CA 91436  | 6350 Ventura Blvd., Suite D#811, Encino, CA 91436 - USA+1 310 477 0354Fax: +1 323 375 1576R | 24 50937 K ln - Germany +49 221 169 125 83Fax: +49 221 169 14 28R | 2008 +91 124 476 2350 | 972 4 6013103Fax: +972 72 22766469 | 81 3 3505 6161 | 82 2 2694 1920 | 6350 Ventura Blvd., Suite D#811, Encino, CA 91316 - USA+1 310 477 0354Fax: +1 323 375 1576R | 1 617 763-2312E | 310 477 0354E | 6350 Ventura Blvd., Suite D #811, Encino, CA 91436 - USAPhone: +1 (310) 477-0354 - Fax: +1 (323) 375-1576  | 82 2 2694 1920info@enlibmi.co.kr     Rest of World Research Solutions, Inc.16350 Ventura Blvd., Suite D#811, Encino, CA 91316  | 310 477 0354Email Sharon                                  Headquarters 16350 Ventura Blvd., Suite D #811, Encino, CA 91436 "
